Price,Brand_name,5G,RAM,ROM,Front_camera,Processor_name,Back_camera_sum
75999,Google,0,8,128,105,Others,62
15798,Others,1,8,128,16,Mediatek,58
13000,OPPO,0,4,64,5,Mediatek,56
6891,Others,0,3,64,0,Others,13
19151,OnePlus,1,8,128,0,Others,108
23999,vivo,1,8,256,16,Others,66
12999,OPPO,0,6,128,8,Mediatek,108
6199,Infinix,0,2,64,5,Others,8
7499,Others,0,4,128,8,Others,50
12477,REDMI,0,6,128,0,Others,50
13898,vivo,0,8,128,16,Mediatek,54
33999,REDMI,1,12,256,16,Mediatek,210
50999,Apple,0,4,128,12,Bionic,24
64999,Samsung,1,8,256,10,Snapdragon,24
34999,Others,1,8,256,0,Others,200
64999,Samsung,1,8,256,10,Snapdragon,24
5509,Others,0,2,32,5,Others,13
92999,Apple,0,4,256,12,Bionic,60
31999,vivo,1,8,128,50,Mediatek,60
39999,OPPO,1,12,256,32,Mediatek,90
18999,REDMI,1,8,256,13,Snapdragon,58
10499,Others,0,4,64,8,Mediatek,50
148900,Apple,0,4,256,12,Bionic,72
13499,Samsung,0,6,128,13,Mediatek,60
11999,vivo,0,6,128,8,Mediatek,52
15689,Samsung,1,6,128,0,Others,50
17999,OPPO,1,8,128,8,Others,52
13749,Others,1,6,128,0,Others,50
11899,Others,1,6,128,0,Others,50
50999,Apple,0,4,128,12,Bionic,24
11890,Samsung,0,6,128,0,Others,48
27999,OnePlus,0,8,128,16,Others,50
99999,Samsung,1,12,256,12,Snapdragon,232
11479,Others,1,6,128,88,Mediatek,102
10999,OPPO,0,4,128,5,Mediatek,52
9980,REDMI,0,8,128,5,Others,50
10999,OPPO,0,4,128,5,Mediatek,52
5499,Others,0,2,32,0,Others,8
27999,OnePlus,0,8,128,16,Others,50
37999,OPPO,1,12,256,32,Snapdragon,90
7378,Others,0,4,64,5,Mediatek,13
14999,REDMI,0,6,64,13,Mediatek,76
9999,Others,0,3,32,8,Mediatek,17
12254,Samsung,0,6,128,13,Snapdragon,54
139999,Samsung,1,12,512,12,Snapdragon,272
18124,Samsung,1,8,128,0,Others,50
15499,OPPO,0,8,128,8,Snapdragon,52
8499,Others,0,6,128,0,Others,13
43900,Apple,0,4,64,12,Bionic,24
34990,Samsung,0,8,256,32,Others,86
11228,Others,1,6,128,0,Others,50
22999,Others,1,8,128,16,Mediatek,108
12099,Samsung,0,6,128,0,Others,50
24999,realme,1,8,256,16,Mediatek,102
27999,OPPO,0,8,128,32,Snapdragon,68
16999,vivo,1,8,128,8,Mediatek,52
11399,Others,1,6,128,0,Others,50
15499,REDMI,1,4,128,13,Snapdragon,58
8398,Others,0,8,128,8,Others,16
9999,OPPO,0,4,64,5,Mediatek,56
18289,Samsung,1,8,128,0,Others,50
13989,vivo,0,8,128,16,Snapdragon,54
10454,realme,0,6,128,0,Others,50
10999,Others,0,4,128,16,Mediatek,57
16889,Others,1,8,256,0,Others,50
127990,Apple,0,4,128,12,Bionic,72
8999,Infinix,0,4,64,8,Others,13
7499,Others,0,4,128,8,Others,50
7499,Motorola,0,8,128,5,Others,13
9449,REDMI,0,6,128,0,Others,13
16995,vivo,1,8,128,8,Mediatek,52
54999,Samsung,0,8,128,10,Others,62
7290,Others,0,3,64,0,Others,50
10499,OPPO,0,4,128,5,Mediatek,10
24999,Others,1,6,128,16,Mediatek,108
10990,REDMI,0,4,64,13,Others,50
17299,vivo,1,8,128,16,Mediatek,52
27999,realme,1,12,256,16,Mediatek,102
17889,REDMI,1,6,128,0,Others,50
95999,Apple,0,4,512,12,Bionic,60
18990,OPPO,0,8,128,32,Snapdragon,68
14498,Samsung,1,4,64,13,Others,52
